"original_coordinates::PointData","k::PointData","epsilon::PointData","U::PointData"
0.020000,1.3,3057.81,6.17
0.020080,1.53,3137.04,7.47
0.020160,1.77,3216.27,8.78
0.020240,2.01,3295.5,10.08
0.020320,2.25,3374.73,11.38
0.020400,2.48,3367.49,12.05
0.020480,2.7,3322.63,12.46
0.020560,2.93,3277.76,12.86
0.020640,3.16,3232.9,13.26
0.020720,3.35,3163.73,13.64
0.020800,3.31,2962.76,13.87
0.020880,3.28,2761.79,14.1
0.020960,3.25,2560.82,14.33
0.021040,3.21,2359.85,14.56
0.021120,3.17,2203.74,14.75
0.021200,3.12,2075.77,14.93
0.021280,3.07,1947.79,15.1
0.021360,3.02,1819.81,15.28
0.021440,2.97,1694.83,15.45
0.021520,2.92,1607.55,15.59
0.021600,2.87,1520.27,15.73
0.021680,2.82,1433,15.87
0.021760,2.77,1345.72,16.02
0.021840,2.72,1271.36,16.14
0.021920,2.67,1208.34,16.26
0.022000,2.61,1145.33,16.38
0.022080,2.56,1082.31,16.5
0.022160,2.51,1019.3,16.62
0.022240,2.46,971.77,16.72
0.022320,2.41,924.37,16.82
0.022400,2.36,876.98,16.91
0.022480,2.31,829.59,17.01
0.022560,2.26,787.05,17.11
0.022640,2.22,750.45,17.19
0.022720,2.17,713.86,17.28
0.022800,2.12,677.26,17.36
0.022880,2.08,640.66,17.45
0.022960,2.03,611.32,17.52
0.023040,1.99,582.71,17.59
0.023120,1.95,554.1,17.66
0.023200,1.9,525.49,17.73
0.023280,1.86,499.2,17.8
0.023360,1.82,476.89,17.86
0.023440,1.78,454.58,17.92
0.023520,1.75,432.28,17.98
0.023600,1.71,409.97,18.03
0.023680,1.67,392.01,18.08
0.023760,1.64,374.95,18.13
0.023840,1.61,357.9,18.18
0.023920,1.58,340.85,18.22
0.024000,1.55,325.09,18.27
0.024080,1.52,312.57,18.3
0.024160,1.49,300.05,18.34
0.024240,1.47,287.53,18.38
0.024320,1.44,275.02,18.41
0.024400,1.42,265.45,18.44
0.024480,1.41,256.89,18.46
0.024560,1.39,248.34,18.49
0.024640,1.37,239.78,18.51
0.024720,1.35,231.93,18.54
0.024800,1.34,226.84,18.55
0.024880,1.33,221.76,18.57
0.024960,1.32,216.67,18.58
0.025040,1.31,211.58,18.6
0.025120,1.31,208.51,18.6
0.025200,1.31,206.48,18.61
0.025280,1.3,204.44,18.61
0.025360,1.3,202.41,18.62
0.025440,1.3,200.71,18.62
0.025520,1.3,201.43,18.62
0.025600,1.31,202.14,18.61
0.025680,1.31,202.86,18.61
0.025760,1.32,203.58,18.61
0.025840,1.33,205.79,18.6
0.025920,1.34,209.09,18.58
0.026000,1.35,212.39,18.57
0.026080,1.36,215.69,18.56
0.026160,1.38,219.08,18.55
0.026240,1.39,224.89,18.53
0.026320,1.41,230.7,18.5
0.026400,1.43,236.51,18.48
0.026480,1.45,242.32,18.46
0.026560,1.47,249.39,18.44
0.026640,1.49,257.71,18.41
0.026720,1.52,266.04,18.38
0.026800,1.54,274.37,18.35
0.026880,1.56,282.69,18.32
0.026960,1.59,293.47,18.28
0.027040,1.62,304.37,18.25
0.027120,1.65,315.26,18.21
0.027200,1.68,326.15,18.17
0.027280,1.71,338.16,18.13
0.027360,1.74,351.73,18.09
0.027440,1.77,365.3,18.04
0.027520,1.8,378.87,17.99
0.027600,1.83,392.44,17.95
0.027680,1.87,408.53,17.9
0.027760,1.9,424.98,17.84
0.027840,1.94,441.44,17.79
0.027920,1.97,457.89,17.74
0.028000,2.01,475.43,17.68
0.028080,2.05,495.14,17.62
0.028160,2.08,514.84,17.56
0.028240,2.12,534.55,17.5
0.028320,2.16,554.26,17.44
0.028400,2.19,577.04,17.37
0.028480,2.23,600.63,17.3
0.028560,2.27,624.21,17.23
0.028640,2.31,647.8,17.16
0.028720,2.35,672.61,17.09
0.028800,2.38,701.1,17.01
0.028880,2.42,729.58,16.93
0.028960,2.46,758.06,16.85
0.029040,2.5,786.54,16.77
0.029120,2.54,819.65,16.69
0.029200,2.58,854.66,16.6
0.029280,2.62,889.66,16.51
0.029360,2.66,924.67,16.42
0.029440,2.7,961.21,16.33
0.029520,2.73,1005.37,16.23
0.029600,2.77,1049.53,16.12
0.029680,2.81,1093.69,16.02
0.029760,2.85,1137.85,15.92
0.029840,2.89,1190.52,15.81
0.029920,2.93,1248.24,15.69
0.030000,2.96,1305.96,15.57
0.030080,3,1363.68,15.46
0.030160,3.04,1423.24,15.34
0.030240,3.07,1502.31,15.2
0.030320,3.11,1581.37,15.06
0.030400,3.15,1660.44,14.92
0.030480,3.18,1739.51,14.78
0.030560,3.21,1838.26,14.63
0.030640,3.24,1953.43,14.46
0.030720,3.27,2068.6,14.29
0.030800,3.3,2183.78,14.12
0.030880,3.33,2298.95,13.95
0.030960,3.35,2479.47,13.72
0.031040,3.36,2659.72,13.5
0.031120,3.37,2839.98,13.28
0.031200,3.38,3020.23,13.06
0.031280,3.28,3139.04,12.76
0.031360,3.04,3186.57,12.38
0.031440,2.8,3234.1,11.99
0.031520,2.57,3281.63,11.6
0.031600,2.33,3329.16,11.21
0.031680,2.09,3274.17,10.16
0.031760,1.86,3210.49,9.04
0.031840,1.62,3146.82,7.93
0.031920,1.38,3083.14,6.82
