"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","mflux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00183923,0.00472459,1.19581,0,100000,4.86258,0,0.00472459,0.753723,0.231629,0,0.0146476,100000,289.65,539.029,9.75453,0,0,0.170229,86,1,0,0.2,0,0
0.00184542,0.00472527,1.19496,0,100000,4.8832,0,0.00472527,0.754661,0.231645,0,0.0136942,100000,290.369,543.149,9.66458,0.0365973,0,0.158495,606,1,0.002,0.2,0.002,0
0.00185866,0.00472728,1.19357,0,100000,4.92616,0,0.00472728,0.755547,0.231695,0,0.0127578,100000,290.993,551.872,9.40182,0.0690958,0,0.143531,1256,1,0.004,0.2,0.004,0
0.00186626,0.00471658,1.19161,0,100000,4.94331,0,0.00471658,0.756491,0.231775,0,0.0117344,100000,291.616,556.063,8.99205,0.0947635,0,0.124556,1906,1,0.006,0.2,0.006,0
0.0018567,0.00467413,1.18923,0,100000,4.88351,0,0.00467413,0.757522,0.231875,0,0.0106031,100000,292.275,546.514,8.47788,0.111451,0,0.107305,2296,1,0.008,0.2,0.008,0
0.00182496,0.00458248,1.1866,0,100000,4.71643,0,0.00458248,0.758603,0.231988,0,0.00940882,100000,292.951,518.79,7.8974,0.118859,0,0.0846691,2686,1,0.01,0.2,0.01,0
0.00177003,0.004427,1.18386,0,100000,4.42998,0,0.004427,0.759696,0.232109,0,0.00819492,100000,293.624,472.678,7.28202,0.117095,0,0.067096,2946,1,0.012,0.2,0.012,0
0.00169458,0.00420073,1.18108,0,100000,4.03499,0,0.00420073,0.760771,0.232232,0,0.00699692,100000,294.278,412.372,6.65848,0.107156,0,0.0579168,3076,1,0.014,0.2,0.014,0
0.00160225,0.00390219,1.17838,0,100000,3.55507,0,0.00390219,0.761806,0.232354,0,0.00584085,100000,294.903,343.968,6.04673,0.0903946,0,0.0396493,3336,1,0.016,0.2,0.016,0
0.00149589,0.00353276,1.17579,0,100000,3.01624,0,0.00353276,0.762784,0.232471,0,0.0047449,100000,295.491,273.129,5.46031,0.0681635,0,0.0310286,3466,1,0.018,0.2,0.018,0
0.00137731,0.00309805,1.17335,0,100000,2.44631,0,0.00309805,0.763699,0.232582,0,0.00371943,100000,296.037,204.673,4.90806,0.0420071,0,0.0230527,3596,1,0.02,0.2,0.02,0
0.00124475,0.00259984,1.17109,0,100000,1.86846,0,0.00259984,0.764539,0.232685,0,0.00277585,100000,296.537,142.325,4.39866,0.0131542,0,0.0159427,3726,1,0.022,0.2,0.022,0
0.00109691,0.00204648,1.16907,0,100000,1.31463,0,0.00204648,0.76528,0.232786,0,0.00193402,100000,296.981,89.7684,3.94451,-0.0164582,0,0.00989525,3856,1,0.024,0.2,0.024,0
0.000934789,0.00145832,1.16734,0,100000,0.824775,0,0.00145832,0.765976,0.232806,0,0.00121858,100000,297.358,49.8546,3.56075,-0.044683,0,0.00518352,3986,1,0.026,0.2,0.026,0
0.000766641,0.000894288,1.16599,0,100000,0.438589,0,0.000894288,0.766462,0.232879,0,0.000659039,100000,297.652,23.0085,3.26398,-0.067634,0,0.00189846,4116,1,0.028,0.2,0.028,0
0.000593247,0.000412249,1.16505,0,100000,0.16779,0,0.000412249,0.766693,0.233045,0,0.000261516,100000,297.861,7.24528,3.05686,-0.0830181,0,0.000270063,4246,1,0.03,0.2,0.03,0
0.000397097,0.0001477,1.16463,0,100000,0.0544416,0,0.0001477,0.766787,0.233126,0,8.68157e-05,100000,297.954,2.15659,2.97076,-0.085811,0,0.000270063,4246,1,0.032,0.2,0.032,0
0.000231925,4.17973e-05,1.16446,0,100000,0.0129659,0,4.17973e-05,0.766923,0.233055,0,2.15739e-05,100000,297.988,0.422855,2.94248,-0.0834736,0,5.53144e-06,4376,1,0.034,0.2,0.034,0
9.55265e-05,2.00576e-06,1.1644,0,100000,0.000475588,0,2.00576e-06,0.767046,0.232953,0,7.84596e-07,100000,298,0.0118849,2.93753,-0.0792695,0,1.90462e-08,4506,1,0.036,0.2,0.036,0
5.3807e-05,8.63804e-07,1.1644,0,100000,0.000194872,0,8.63804e-07,0.767009,0.232991,0,2.88329e-07,100000,298,0.00469855,2.94239,-0.0753048,0,1.90462e-08,4506,1,0.038,0.2,0.038,0
2.9648e-05,2.07219e-07,1.1644,0,100000,3.33059e-05,0,2.07219e-07,0.766995,0.233005,0,2.41435e-09,100000,298,0.000561355,2.94711,-0.0716601,0,4.87756e-11,4636,1,0.04,0.2,0.04,0
2.92212e-05,2.06585e-07,1.1644,0,100000,3.27665e-05,0,2.06585e-07,0.767013,0.232987,0,7.80402e-10,100000,298,0.000544894,2.95163,-0.068448,0,4.87756e-11,4636,1,0.042,0.2,0.042,0
2.92386e-05,2.12414e-07,1.1644,0,100000,3.32465e-05,0,2.12414e-07,0.767009,0.232991,0,5.99921e-12,100000,298,0.000545608,2.95592,-0.065475,0,1.02743e-13,4766,1,0.044,0.2,0.044,0
2.96542e-05,2.24035e-07,1.1644,0,100000,3.46405e-05,0,2.24035e-07,0.766988,0.233012,0,2.15576e-12,100000,298,0.000561717,2.95999,-0.0627165,0,1.02743e-13,4766,1,0.046,0.2,0.046,0
3.04977e-05,2.55515e-07,1.1644,0,100000,3.80655e-05,0,2.55515e-07,0.766986,0.233014,0,1.37449e-14,100000,298,0.000597049,2.96388,-0.0602053,0,1.78235e-16,4896,1,0.048,0.2,0.048,0
3.18781e-05,3.11909e-07,1.1644,0,100000,4.40386e-05,0,3.11909e-07,0.76701,0.23299,0,6.30786e-15,100000,298,0.000656498,2.96752,-0.0580044,0,1.78235e-16,4896,1,0.05,0.2,0.05,0
